Price (dollars),Discount (dollars),Length of Course (hours),Number of Users,Company Administrators (percent),Company Instructors (percent),Company Learners (percent),Company Rating (average),Quiz Grade (average),Completed Quizzes (percent),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Uses SCORM (yes/no),Milestone Course (yes/no),Certificates (percent),Collaborations (average),Teacher Comments (average)
0.0,0.0,1.8563888888888889,20.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
6.95,0.0,54.195,166.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.1822222222222225,4.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,82.0,100.0,76.7,0.0,23.3,0.0,0.0,0,0,25.0,0.0,0.0
895.0,0.0,0.01277777777777778,1.0,100.0,0.0,0.0,90.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,16.775555555555556,80.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,170.49083333333334,637.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,2.6083333333333334,13.0,66.7,0.0,33.300000000000004,89.0,87.0,50.0,9.3,16.3,46.5,0.0,27.9,0,0,0.0,0.0,0.0
199.0,0.0,7.732777777777778,53.0,20.0,40.0,40.0,79.0,100.0,50.0,0.0,6.1,93.9,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,2.599166666666666,16.0,66.7,0.0,33.300000000000004,89.0,91.0,66.7,8.9,7.8,83.3,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,8.349722222222223,59.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.32944444444444443,5.0,66.7,0.0,33.300000000000004,89.0,72.0,66.7,12.0,8.0,80.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,6.3675,14.0,25.0,25.0,50.0,86.0,100.0,50.0,0.0,15.3,84.7,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.07777777777777778,4.0,25.0,25.0,50.0,86.0,100.0,50.0,0.0,18.2,81.8,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.1966666666666668,8.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,53.0,50.0,40.0,0.0,40.0,20.0,0.0,1,0,0.0,0.0,0.0
599.0,0.0,192.7655555555556,428.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
599.0,0.2995,22.065555555555555,7.0,20.0,40.0,40.0,79.0,100.0,50.0,0.0,5.1,94.9,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,12.710277777777774,65.0,50.0,25.0,25.0,85.0,100.0,50.0,0.0,7.3,84.39999999999998,0.0,8.4,0,0,0.0,0.0,0.0
6.95,0.0,1.7183333333333333,21.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,439.6977777777778,607.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,16.3,81.3,2.4,0.0,0,0,28.171334431630967,0.0,0.0
0.0,0.0,117.25861111111112,233.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
19.95,0.0,58.24111111111111,77.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
275.0,0.573958,733.1688888888889,256.0,25.0,25.0,50.0,81.0,83.0,50.0,9.1,0.0,90.9,0.0,0.0,0,0,4.6875,0.0,0.0
0.0,0.0,1.8472222222222223,25.0,66.7,0.0,33.300000000000004,89.0,93.0,66.7,10.1,12.8,77.10000000000002,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,722.2313888888889,671.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,22.3,75.6,2.1,0.0,0,0,28.16691505216095,0.0,0.0
0.0,0.0,524.2011111111111,679.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,15.7,81.6,2.8000000000000003,0.0,0,0,27.245949926362297,0.0,0.0
0.0,0.0,502.7769444444445,966.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,16.900000000000002,80.30000000000003,2.7,0.0,0,0,26.915113871635608,0.0,0.0
0.0,0.0,536.4288888888889,827.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,17.4,79.7,3.0,0.0,0,0,29.020556227327692,0.0,0.0
0.0,0.0,1116.841111111111,588.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,13.8,84.0,2.2,0.0,0,0,29.931972789115648,0.0,0.0
0.0,0.0,25.067777777777767,295.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,3.3827777777777777,20.0,66.7,0.0,33.300000000000004,89.0,95.0,66.7,11.8,14.7,73.5,0.0,0.0,0,0,0.0,0.0,0.0
6.95,0.0,3.0661111111111112,8.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.8913888888888889,9.0,66.7,0.0,33.300000000000004,89.0,75.0,100.0,7.8,5.9,86.3,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.5388888888888889,4.0,66.7,0.0,33.300000000000004,89.0,90.0,100.0,5.7,5.7,88.6,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,2.4058333333333333,8.0,66.7,0.0,33.300000000000004,89.0,77.0,66.7,6.2,7.399999999999999,86.4,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.6377777777777778,2.0,25.0,25.0,50.0,86.0,73.0,66.7,0.0,16.7,83.3,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,25.972777777777786,269.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.9963888888888888,6.0,33.300000000000004,0.0,66.7,97.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,34.29083333333333,94.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,4.183888888888889,46.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,6.189166666666668,62.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,13.674722222222226,92.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,3.2816666666666667,49.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,6.0530555555555585,47.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
6.95,0.0,10.643333333333333,29.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,5.668055555555553,528.0,50.0,0.0,50.0,87.0,89.0,50.0,23.7,39.7,0.0,36.5,0.0,0,0,2.6515151515151514,0.0,0.0
0.0,0.0,4.748333333333333,762.0,50.0,0.0,50.0,87.0,85.0,60.0,19.1,37.1,0.0,43.8,0.0,0,0,0.9186351706036744,0.0,0.0
0.0,0.0,2.1363888888888893,193.0,50.0,0.0,50.0,87.0,84.0,66.7,33.7,27.0,13.5,25.8,0.0,0,0,4.1450777202072535,0.0,0.0
0.0,0.0,19.350277777777773,69.0,50.0,0.0,50.0,87.0,88.0,50.0,36.1,4.5,59.4,0.0,0.0,0,0,31.88405797101449,0.0,0.0
0.0,0.0,4.075555555555557,395.0,50.0,0.0,50.0,87.0,80.0,50.0,21.6,38.6,14.000000000000002,25.7,0.0,0,0,2.0253164556962027,0.0,0.0
0.0,0.0,1.2488888888888892,280.0,50.0,0.0,50.0,87.0,78.0,66.7,26.4,26.4,15.1,32.1,0.0,0,0,1.7857142857142856,0.0,0.0
0.0,0.0,4.620555555555557,561.0,50.0,0.0,50.0,87.0,85.0,50.0,20.4,38.1,0.0,41.5,0.0,0,1,1.7825311942959003,0.0,0.0
0.0,0.0,0.07111111111111111,72.0,50.0,0.0,50.0,87.0,100.0,100.0,0.0,50.0,0.0,50.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.6811111111111108,211.0,50.0,0.0,50.0,87.0,78.0,66.7,23.1,30.8,15.4,30.8,0.0,0,0,1.8957345971563984,0.0,0.0
0.0,0.0,1.8375,646.0,50.0,0.0,50.0,87.0,74.0,60.0,25.0,28.1,20.8,26.0,0.0,0,1,0.4643962848297213,0.0,0.0
0.0,0.0,3.4772222222222213,699.0,50.0,0.0,50.0,87.0,86.0,50.0,28.4,41.0,0.0,30.6,0.0,0,1,1.144492131616595,0.0,0.0
0.0,0.0,0.3013888888888889,135.0,50.0,0.0,50.0,87.0,85.0,66.7,26.70000000000001,26.70000000000001,20.0,26.70000000000001,0.0,0,0,1.4814814814814816,0.0,0.0
0.0,0.0,3.4775,547.0,50.0,0.0,50.0,87.0,82.0,50.0,25.2,26.70000000000001,14.499999999999998,33.6,0.0,0,1,2.010968921389397,0.0,0.0
0.0,0.0,41.11388888888889,788.0,50.0,0.0,50.0,87.0,91.0,60.0,22.3,33.90000000000001,17.4,26.4,0.0,0,0,26.395939086294426,0.0,0.0
0.0,0.0,1.4308333333333334,298.0,50.0,0.0,50.0,87.0,100.0,50.0,0.0,62.5,0.0,37.5,0.0,0,1,2.013422818791946,0.0,0.0
0.0,0.0,8.196666666666667,73.0,50.0,0.0,50.0,87.0,97.0,50.0,27.4,41.1,0.0,31.5,0.0,0,1,8.21917808219178,0.0,0.0
0.0,0.0,22.362777777777787,59.0,50.0,0.0,50.0,87.0,80.0,50.0,25.3,14.3,60.4,0.0,0.0,0,0,81.35593220338984,0.0,0.0
0.0,0.0,1.2538888888888888,335.0,50.0,0.0,50.0,87.0,88.0,50.0,27.70000000000001,26.20000000000001,18.5,27.70000000000001,0.0,0,0,0.8955223880597015,0.0,0.0
5.95,0.0,16.565555555555555,80.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.1369444444444443,344.0,50.0,0.0,50.0,87.0,53.0,60.0,26.20000000000001,31.0,16.7,26.20000000000001,0.0,0,0,0.5813953488372093,0.0,0.0
0.0,0.0,0.8038888888888889,319.0,50.0,0.0,50.0,87.0,100.0,33.300000000000004,7.000000000000001,44.2,0.0,48.8,0.0,0,1,1.5673981191222568,0.0,0.0
0.0,0.0,0.7997222222222222,255.0,50.0,0.0,50.0,87.0,63.0,50.0,31.2,25.0,18.8,25.0,0.0,0,0,0.7843137254901961,0.0,0.0
0.0,0.0,0.8241666666666667,212.0,50.0,0.0,50.0,87.0,100.0,100.0,0.0,50.0,0.0,50.0,0.0,0,1,1.8867924528301887,0.0,0.0
0.0,0.0,3.386388888888889,726.0,50.0,0.0,50.0,87.0,87.0,50.0,25.0,40.5,0.0,34.5,0.0,0,1,1.1019283746556474,0.0,0.0
0.0,0.0,3.6372222222222224,5.0,25.0,25.0,50.0,86.0,100.0,50.0,0.0,18.6,72.2,9.3,0.0,0,0,0.0,0.0,0.0
0.0,0.0,608.2502777777778,1206.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,10.3,87.9,1.7999999999999998,0.0,0,0,22.47097844112769,0.0,0.0
0.0,0.0,599.4255555555555,753.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,10.1,87.9,2.1,0.0,0,0,33.46613545816733,0.0,0.0
0.0,0.0,633.6141666666666,610.0,50.0,0.0,50.0,90.0,100.0,50.0,0.0,27.3,70.3,2.5,0.0,0,0,28.19672131147541,0.0,0.0
0.0,0.0,0.14972222222222226,525.0,50.0,0.0,50.0,87.0,57.0,60.0,32.0,28.000000000000004,0.0,40.0,0.0,0,0,0.5714285714285714,0.0,0.0
24.95,0.0,5.604166666666668,22.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,4.189166666666667,452.0,50.0,0.0,50.0,87.0,75.0,50.0,21.9,29.5,15.2,33.300000000000004,0.0,0,1,1.991150442477876,0.0,0.0
0.0,0.0,6.931666666666668,1234.0,50.0,0.0,50.0,87.0,83.0,50.0,28.6,41.4,0.0,30.0,0.0,0,1,0.8914100486223663,0.0,0.0
19.95,0.0,122.2775,142.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.1461111111111111,81.0,50.0,0.0,50.0,87.0,50.0,100.0,16.7,16.7,16.7,50.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,1.9075,908.0,50.0,0.0,50.0,87.0,78.0,60.0,18.9,36.8,16.8,27.4,0.0,0,0,0.9911894273127754,0.0,0.0
0.0,0.0,1.09,364.0,50.0,0.0,50.0,87.0,82.0,50.0,26.5,40.8,0.0,32.7,0.0,0,0,0.5494505494505495,0.0,0.0
24.95,0.0,2.8655555555555554,15.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
